_id,amount,brand,category,description,price,stock,tipo,url
"""669e6acec0806accd663bdc5""",alfajor,minitorta coco,aguila,70g,1200,golosinas,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721658062/ndksxww7nhpew21jdghj.webp,true
"""669e6aeec0806accd663bdc6""",alfajor,minitorta brawnie,aguila,70g,1200,golosinas,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721658093/csxz0bufa4hb24w2nizz.webp,true
"""669e6b11c0806accd663bdc7""",alfajor,minitorta clásica,aguila,70g,1200,golosinas,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721658129/l7hyxvhvztas6ubowbdt.webp,true
"""669e6b21c0806accd663bdc8""",alfajor,minitorta blanco,aguila,70g,1200,golosinas,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721658144/k0wsd2kkvru5ks99jytz.webp,true
"""669e6b3dc0806accd663bdc9""",alfajor,block,cofler,60g,1200,golosinas,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721658173/ph40ievmmcwfgutenfq7.webp,true
"""669e6b60c0806accd663bdca""",alfajor,bon o bon triple,arcor,60g,1200,golosinas,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721658208/wsiexzypbevbpan7attk.webp,true
"""669e6b8ac0806accd663bdcb""",alfajor,negro triple,tatin,60g,470,golosinas,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721658250/miwgdaqf0nz91vppbbm2.webp,false
"""669e6b9ac0806accd663bdcc""",alfajor,blanco triple,tatin,60g,900,golosinas,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721658266/gxdjy4fjqhb0qxerq68a.webp,false
"""669e6bafc0806accd663bdcd""",alfajor,blanco simple,tatin,33g,350,golosinas,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721658338/n9ibkqij22ocqyqnugee.webp,true
"""669e6bc4c0806accd663bdce""",alfajor,negro simple,tatin,33g,350,golosinas,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721658307/vqoglnzpow9ijsbxwn36.webp,true
"""669e6c8bc0806accd663bdcf""",chocolate,amargo 80% cacao,aguila,150g,6300,golosinas,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721658506/gb88jt2xu7veodhmzuzu.webp,true
"""669e6ca3c0806accd663bdd0""",chocolate,amargo 60% cacao con naranja,aguila,100g,4300,golosinas,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721658531/jqcit4d8wsoyf3alzppt.webp,true
"""669e7638c0806accd663bdd1""",snack,nacho picante,quento,80g,1500,snacks,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721660983/ffbfcb42hjhsmcwir44a.webp,true
"""669e7654c0806accd663bdd2""",snack,nacho sabor queso,quento,90g,1500,snacks,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721661011/txbs7nq7kldfavniji8i.webp,true
"""669e7666c0806accd663bdd3""",snack,nacho con sal,quento,90g,1500,snacks,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721661030/dvqxqelqn6r3vimvc6qa.webp,true
"""669e767ac0806accd663bdd4""",snack,nacho sabor choclo con manteca,quento,90g,1500,snacks,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721661050/dyf1vdatdpudnawmkir8.webp,true
"""669e7691c0806accd663bdd5""",snack,papas pay,quento,110g,1500,snacks,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721661073/g64fnqnorhy2ougpcoyf.webp,true
"""669e76acc0806accd663bdd6""",snack,papas clásicas,quento,100g,1500,snacks,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721661099/nktqmuqmhmqcpen1r7mn.webp,true
"""669e76bfc0806accd663bdd7""",snack,papas onduladas,quento,100g,1500,snacks,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721661119/pnyafrrola23i2yibnuz.webp,true
"""669e76cfc0806accd663bdd8""",snack,papas ketchup,quento,100g,1500,snacks,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721661134/pfk8dk9c0uguii7az7em.webp,true
"""669e76e3c0806accd663bdd9""",snack,papas jamón serrano,quento,90g,1500,snacks,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721661154/eyyt9c8fmlz8fge1r1ww.webp,true
"""669e76f5c0806accd663bdda""",snack,papas salame,quento,90g,1500,snacks,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721661172/jzjzfovugrefj8zq2cwa.webp,true
"""669e7700c0806accd663bddb""",snack,papas limon,quento,90g,1500,snacks,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721661183/ucmuivhzriojaylze2fl.webp,true
"""669e7713c0806accd663bddc""",snack,papas mostaza,quento,90g,1500,snacks,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721661202/g11km3fj7crom5smjrzj.webp,true
"""669e772dc0806accd663bddd""",snack,papas queso crema y ciboulette,quento,90g,1500,snacks,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721661228/aarfjtvz0gnxs8jljati.webp,true
"""669e774ac0806accd663bdde""",snack,papas barbacoa,quento,90g,1500,snacks,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721661257/yhrkq581rqxdmogv9qau.webp,true
"""669e7757c0806accd663bddf""",snack,papas asado criollo,quento,90g,1500,snacks,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721661271/pu4asaoisu5xwehmzf99.webp,true
